disorder_id,orpha_code,name,disorder_type,disorder_group,prevalence_type,prevalence_qualification,prevalence_class,val_moy,prevalence_geographic,prevalence_validation_status,source
17557,163971,"X-linked intellectual disability, Cilliers type",Disease,Disorder,Cases/families,Case(s),,4.0,Worldwide,Validated,17369115[PMID]
17558,163976,"X-linked intellectual disability, Van Esch type",Malformation syndrome,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_16053905[PMID]
17558,163976,"X-linked intellectual disability, Van Esch type",Malformation syndrome,Disorder,Cases/families,Case(s),,7.0,Worldwide,Validated,16053905[PMID]
17559,163979,X-linked intellectual disability-craniofacioskeletal syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_17853486[PMID]
17559,163979,X-linked intellectual disability-craniofacioskeletal syndrome,Disease,Disorder,Cases/families,Case(s),,9.0,Worldwide,Validated,17853486[PMID]
17554,163956,"X-linked intellectual disability, Nascimento type",Disease,Disorder,Cases/families,Case(s),,8.0,Worldwide,Validated,20412111[PMID]
17554,163956,"X-linked intellectual disability, Nascimento type",Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_20412111[PMID]
17555,163961,X-linked cerebral-cerebellar-coloboma syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_15887274[PMID]
17555,163961,X-linked cerebral-cerebellar-coloboma syndrome,Disease,Disorder,Cases/families,Case(s),,3.0,Worldwide,Validated,15887274[PMID]
94,324,Fabry disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,6.66,Worldwide,Validated,ORPHANET
94,324,Fabry disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,6.96,Australia,Validated,35024668[PMID]
94,324,Fabry disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.21,Netherlands,Validated,10480370[PMID]
94,324,Fabry disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.12,Portugal,Validated,14685153[PMID]
94,324,Fabry disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.52,Czech Republic,Validated,20490927[PMID]
94,324,Fabry disease,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.015,Turkey,Validated,15275696[PMID]
94,324,Fabry disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.15,United Kingdom,Validated,11732485[PMID]
94,324,Fabry disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.25,Japan,Validated,22790789[PMID]
94,324,Fabry disease,Disease,Disorder,Point prevalence,Class only,1-5 / 10 000,0.0,Europe,Not yet validated,ORPHANET
94,324,Fabry disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.11,Sweden,Validated,25274184[PMID]
94,324,Fabry disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.118,China,Validated,34103049[PMID]
17561,163985,Hyperekplexia-epilepsy syndrome,Disease,Disorder,Cases/families,Case(s),,4.0,Worldwide,Validated,30078784[PMID]
17561,163985,Hyperekplexia-epilepsy syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_30078784[PMID]
91,778,Rett syndrome,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,5.0,Europe,Not yet validated,12378695[PMID]_21878110[PMID]
91,778,Rett syndrome,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,10.0,Europe,Validated,European Medicines Agency 2019[INST]
91,778,Rett syndrome,Disease,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,France,Not yet validated,16647997[PMID]_ORPHANET
91,778,Rett syndrome,Disease,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Worldwide,Not yet validated,ORPHANET
91,778,Rett syndrome,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,5.0,Sweden,Not yet validated,3571139[PMID]_ORPHANET
91,778,Rett syndrome,Disease,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Japan,Not yet validated,2803793[PMID]
91,778,Rett syndrome,Disease,Disorder,Prevalence at birth,Class only,1-9 / 100 000,0.0,United States,Not yet validated,2063900[PMID]
91,778,Rett syndrome,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.6,United Kingdom,Validated,National Congenital Anomaly and Rare Disease Registration Service 2017[INST]_3087206[PMID]
91,778,Rett syndrome,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,3.05,Australia,Not yet validated,21587099[PMID]_ORPHANET
91,778,Rett syndrome,Disease,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Australia,Not yet validated,21587099[PMID]
91,778,Rett syndrome,Disease,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Hong Kong,Not yet validated,18174559[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Point prevalence,Value and class,1-9 / 100 000,7.5,Worldwide,Validated,20301323[PMID]_21587322[PMID]_[EXPERT]_ORPHANET
90,72,Angelman syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.3,Europe,Validated,EUROCAT European surveillance of congenital anomalies 2005-2012[REG]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Europe,Validated,EUROCAT European surveillance of congenital anomalies 2005-2009[REG]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.5,Australia,Validated,16492624[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Australia,Not yet validated,16492624[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,5.0,Spain,Validated,12373673[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Point prevalence,Value and class,1-9 / 100 000,8.3,Spain,Validated,12373673[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.8,Estonia,Validated,16906556[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Estonia,Not yet validated,16906556[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Point prevalence,Value and class,1-5 / 10 000,10.0,Denmark,Validated,7573182[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.5,Denmark,Validated,23913711[PMID]
90,72,Angelman syndrome,Malformation syndrome,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.0,United Kingdom,Validated,21152085[PMID]
102,307,Juvenile myoclonic epilepsy,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
101,1941,Juvenile absence epilepsy,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,7.5,Europe,Validated,8275976[PMID]_ORPHANET
101,1941,Juvenile absence epilepsy,Disease,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Europe,Validated,ORPHANET_Dr Gabrielle Rudolf[EXPERT]
99,892,Von Hippel-Lindau disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.3,United Kingdom,Validated,20082463[PMID]_[EXPERT]
99,892,Von Hippel-Lindau disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.1,United Kingdom,Validated,20082463[PMID]_[EXPERT]
99,892,Von Hippel-Lindau disease,Disease,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Europe,Not yet validated,ORPHANET
99,892,Von Hippel-Lindau disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,2.13,Denmark,Validated,27966541[PMID]
99,892,Von Hippel-Lindau disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,3.66,Denmark,Validated,27966541[PMID]
97,731,Autosomal recessive polycystic kidney disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,5.0,Germany,Validated,[EXPERT]_9511976[PMID]
97,731,Autosomal recessive polycystic kidney disease,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Europe,Not yet validated,ORPHANET
110,138,CHARGE syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,3.5,Canada,Validated,15637722[PMID]
110,138,CHARGE syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,6.5,Worldwide,Not yet validated,16959034[PMID]
110,138,CHARGE syndrome,Malformation syndrome,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
110,138,CHARGE syndrome,Malformation syndrome,Disorder,Point prevalence,Value and class,1-9 / 100 000,9.0,Europe,Validated,European Medicines Agency 2019[INST]
109,558,Marfan syndrome,Disease,Disorder,Annual incidence,Value and class,1-5 / 10 000,25.0,Europe,Not yet validated,16325700[PMID]_ORPHANET
109,558,Marfan syndrome,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,15.0,Worldwide,Not yet validated,20301510[PMID]
109,558,Marfan syndrome,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,20.0,Europe,Validated,[EXPERT]
109,558,Marfan syndrome,Disease,Disorder,Prevalence at birth,Value and class,1-5 / 10 000,10.2,United Kingdom,Validated,8151638[PMID]
109,558,Marfan syndrome,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,7.0,United Kingdom,Validated,8151638[PMID]
109,558,Marfan syndrome,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,10.0,United States,Validated,3788757[PMID]
17579,165805,Familial mesial temporal lobe epilepsy with febrile seizures,Disease,Disorder,Cases/families,Case(s),,4.0,Worldwide,Validated,21922598[PMID]
17579,165805,Familial mesial temporal lobe epilepsy with febrile seizures,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_21922598[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.2,Europe,Validated,19710046[PMID]_[EXPERT]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,5.2,Europe,Validated,19192301[PMID]_[EXPERT]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,3.85,Worldwide,Not yet validated,21665992[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,1.35,Worldwide,Not yet validated,21665992[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,1.06,United Kingdom,Validated,17898523[PMID]_17219036[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.9,United Kingdom,Validated,17898523[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.1,Ireland,Validated,10025778[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.7,Ireland,Validated,10025778[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.4,Finland,Validated,6601351[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,6.4,Finland,Validated,6601351[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.0,Canada,Not yet validated,3762972[PMID]_19494548[PMID]_ ORPHANET
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.9,Canada,Validated,3762972[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,1.46,United States,Validated,25298019[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,1.37,Uruguay,Validated,18334826[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.9,Uruguay,Validated,18334826[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,1.4,Denmark,Validated,2786160[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,3.1,Denmark,Validated,2786160[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,3.0,Italy,Validated,19237701[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,7.9,Italy,Not yet validated,19237701[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.0,France,Validated,19452307[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,1.4,Spain,Validated,23286747[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,5.4,Spain,Validated,23286747[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.2,Norway,Validated,21860251[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.0,Norway,Validated,21860251[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.51,"Taiwan, Province of China",Validated,DOI:10.1016/j.jfma.2013.01.008[OTHER]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.97,"Taiwan, Province of China",Validated,DOI:10.1016/j.jfma.2013.01.008[OTHER]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.6,Faroe Islands,Validated,22034926[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.42,"Iran, Islamic Republic of",Validated,20214678[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.57,"Iran, Islamic Republic of",Validated,20214678[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.5,Specific population,Validated,23052600[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,10.8,Specific population,Validated,23052600[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,1.4,Specific population,Validated,22409362[PMID]
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,6.0,Specific population,Validated,22409362[PMID]
104,100,Ataxia-telangiectasia,Disease,Disorder,Prevalence at birth,Value and class,1-5 / 10 000,10.0,Norway,Validated,19339254[PMID]
104,100,Ataxia-telangiectasia,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.4,Norway,Validated,19339254[PMID]
104,100,Ataxia-telangiectasia,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.7,United States,Validated,20301790[PMID]_21569628[PMID]
104,100,Ataxia-telangiectasia,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.49,Europe,Validated,ORPHANET_19339254[PMID]_23609960[PMID]_19440741[PMID]_1512613[PMID]
104,100,Ataxia-telangiectasia,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.15,Portugal,Validated,23609960[PMID]
104,100,Ataxia-telangiectasia,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.25,France,Validated,19440741[PMID]
104,100,Ataxia-telangiectasia,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.25,United Kingdom,Not yet validated,Ataxia Telangiectasia Society 2014[OTHER]
104,100,Ataxia-telangiectasia,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.19,Italy,Validated,1512613[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Point prevalence,Class only,1-9 / 100 000,0.0,Worldwide,Not yet validated,ORPHANET
105,733,Familial adenomatous polyposis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,6.0,Europe,Validated,European Medicines Agency 2011[INST]
105,733,Familial adenomatous polyposis,Disease,Disorder,Annual incidence,Value and class,1-5 / 10 000,19.0,Denmark,Validated,12692062[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.65,Denmark,Validated,12692062[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,8.6,Sweden,Validated,10636071[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,3.2,Sweden,Validated,10636071[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Annual incidence,Value and class,1-5 / 10 000,15.8,Finland,Validated,1314763[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,2.63,Finland,Validated,1314763[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Prevalence at birth,Value and class,1-5 / 10 000,11.6,United Kingdom,Validated,20082463[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,5.3,United Kingdom,Validated,20082463[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.24,Australia,Validated,2556632[PMID]
105,733,Familial adenomatous polyposis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,2.8,Australia,Validated,2556632[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.0,Greece,Validated,21166788[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.38,Worldwide,Validated,22692795[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,2.7,Worldwide,Validated,22692795[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,12.0,Europe,Validated,European Medicines Agency 2019[INST]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,10.6,Ireland,Validated,20880124[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.61,United Kingdom,Not yet validated,22133668[PMID]_ORPHANET
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,5.4,United Kingdom,Not yet validated,22133668[PMID]_21088431[PMID]_7994530[PMID]_9231935[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.11,Italy,Validated,2151397[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,6.35,Italy,Not yet validated,2151397[PMID]_25689972[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.69,Canada,Validated,11595021[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.3,United States,Validated,8018043[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.9,United States,Validated,8018043[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.65,Japan,Validated,8700304[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.65,Australia,Validated,11008591[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,6.3,Australia,Validated,11008591[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,<1 / 1 000 000,0.046,China,Validated,7586664[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.37,China,Validated,7586664[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,5.2,Slovenia,Validated,18976322[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,<1 / 1 000 000,0.08,"Taiwan, Province of China",Validated,7586664[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.42,"Taiwan, Province of China",Validated,7586664[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.14,Iceland,Validated,22722209[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.0,Iceland,Validated,22722209[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,6.7,Norway,Validated,2938203[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.7,Sweden,Validated,22722209[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.33,Greece,Validated,21166788[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.5,Finland,Validated,2889026[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,21.0,Egypt,Validated,7969703[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.64,Cyprus,Validated,29105741[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.12,Cyprus,Validated,29105741[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,5.8,Denmark,Validated,28155235[PMID]
118,399,Huntington disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,4.94,Spain,Validated,33568143[PMID]
118,399,Huntington disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.35,Spain,Validated,33568143[PMID]
117,501,Lafora disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.1,France,Validated,[EXPERT]
117,501,Lafora disease,Disease,Disorder,Point prevalence,Class only,1-9 / 1 000 000,0.0,Europe,Not yet validated,ORPHANET
117,501,Lafora disease,Disease,Disorder,Cases/families,Case(s),,300.0,Worldwide,Validated,25217339[PMID]
117,501,Lafora disease,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Validated,ORPHANET_25217339[PMID]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,95.0,Worldwide,Validated,World Health Organization[INST]
116,870,Down syndrome,Malformation syndrome,Disorder,Point prevalence,Class only,1-5 / 10 000,0.0,Worldwide,Validated,World Health Organization[INST]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,>1 / 1000,101.0,Europe,Validated,33130823[PMID]
116,870,Down syndrome,Malformation syndrome,Disorder,Point prevalence,Value and class,1-5 / 10 000,57.0,Europe,Validated,33130823[PMID]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,63.7,France,Validated,Institut de Veille Sanitaire 2011[INST]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,98.3,Germany,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,70.0,Belgium,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,74.0,Italy,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,91.2,Netherlands,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,>1 / 1000,110.0,Norway,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,69.0,Spain,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-5 / 10 000,38.0,Portugal,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,91.6,United Kingdom,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,98.0,Switzerland,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,66.0,Poland,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-5 / 10 000,59.0,Denmark,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,1-5 / 10 000,44.0,Croatia,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,6-9 / 10 000,75.0,Hungary,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,>1 / 1000,235.0,Ireland,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,>1 / 1000,100.0,Ukraine,Validated,EUROCAT European surveillance of congenital anomalies 2010[REG]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,>1 / 1000,174.0,Japan,Validated,18412274[PMID]
116,870,Down syndrome,Malformation syndrome,Disorder,Point prevalence,Value and class,6-9 / 10 000,66.0,United Kingdom,Validated,23321618[PMID]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,>1 / 1000,126.0,United States,Validated,25822844[PMID]
116,870,Down syndrome,Malformation syndrome,Disorder,Prevalence at birth,Value and class,>1 / 1000,130.0,South Africa,Validated,9373864[PMID]
112,512,Metachromatic leukodystrophy,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.47,Europe,Validated,21496291[PMID]_[EXPERT]_European Medicines Agency 2010[INST]
112,512,Metachromatic leukodystrophy,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.1,Europe,Validated,21496291[PMID]_[EXPERT]_European Medicines Agency 2010[INST]
112,512,Metachromatic leukodystrophy,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.42,Netherlands,Validated,10480370[PMID]
112,512,Metachromatic leukodystrophy,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.85,Portugal,Validated,14685153[PMID]
112,512,Metachromatic leukodystrophy,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.6,Germany,Validated,9286459[PMID]
112,512,Metachromatic leukodystrophy,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.43,Turkey,Validated,20490927[PMID]
112,512,Metachromatic leukodystrophy,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.09,Australia,Validated,9918480[PMID]
